Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority,,,
175926,,,ORCHIDACEAE,Himantoglossum,,,,,Himantoglossum robertianum,,,,robertianum,(Loisel.) P.Delforge,,,
175949,,,ORCHIDACEAE,Neotinea,,,,,Neotinea maculata,,,,maculata,(Desf.) Stearn,,,
176000,,,ORCHIDACEAE,Neotinea,,,,,Neotinea tridentata,,,,tridentata,"(Scop.) R.M.Bateman, Pridgeon &amp; M.W.Chase",,,
175930,,,ORCHIDACEAE,Ophrys,,,,,Ophrys bombyliflora,,,,bombyliflora,Link,,,
176033,,,ORCHIDACEAE,Ophrys,,,,,Ophrys ferrum-equinum,,,,ferrum-equinum,Desf.,,,
175974,,,ORCHIDACEAE,Ophrys,,,,,Ophrys fuciflora,,,,fuciflora,(F.W.Schmidt) Moench,,,
175999,,,ORCHIDACEAE,Ophrys,,,,,Ophrys fusca,,,,fusca,Link,,,
175920,,,ORCHIDACEAE,Ophrys,,,,,Ophrys lutea,,,,lutea,Cav.,,,
175991,,,ORCHIDACEAE,Ophrys,,,,,Ophrys reinholdii,,,,reinholdii,Spruner ex Fleischm.,,,
165203,,,ORCHIDACEAE,Ophrys,,,,,Ophrys scolopax,,,,scolopax,Cav.,,,
176011,,,ORCHIDACEAE,Ophrys,,,,,Ophrys speculum,,,,speculum,Link,,,
175956,,,ORCHIDACEAE,Ophrys,,,,,Ophrys tenthredinifera,,,,tenthredinifera,Willd.,,,
175985,,,ORCHIDACEAE,Ophrys,,,,,Ophrys umbilicata,,,,umbilicata,Desf.,,,
175976,,,ORCHIDACEAE,Orchis,,,,,Orchis anatolica,,,,anatolica,Boiss.,,,
176017,,,ORCHIDACEAE,Orchis,,,,,Orchis anthropophora,,,,anthropophora,(L.) All.,,,
175953,,,ORCHIDACEAE,Orchis,,,,,Orchis italica,,,,italica,Poir.,,,
176027,,,ORCHIDACEAE,Orchis,,,,,Orchis militaris,,,,militaris,L.,,,
175921,,,ORCHIDACEAE,Orchis,,,,,Orchis pallens,,,,pallens,L.,,,
165158,,,ORCHIDACEAE,Orchis,,,,,Orchis provincialis,,,,provincialis,Balb.,,,
175986,,,ORCHIDACEAE,Orchis,,,,,Orchis purpurea,,,,purpurea,Huds.,,,
175980,,,ORCHIDACEAE,Orchis,,,,,Orchis simia,,,,simia,Lam.,,,
175982,,,ORCHIDACEAE,Orchis,,,,,Orchis spitzelii,,,,spitzelii,Saut. ex W.D.J.Koch,,,
175964,,,ORCHIDACEAE,Platanthera,,,,,Platanthera chlorantha,,,,chlorantha,(Custer) Rchb. in J.C.Mössler &amp; H.G.L.Reichenbach,,,
175954,,,ORCHIDACEAE,Serapias,,,,,Serapias vomeracea,,,,vomeracea,(Burm.f.) Briq.,,,
175950,,,ORCHIDACEAE,Traunsteinera,,,,,Traunsteinera globosa,,,,globosa,(L.) Rchb.,,,
203371,,,OROBANCHACEAE,Euphrasia,,,,,Euphrasia rostkoviana,,,,rostkoviana,Hayne,,,
164368,,,OSMUNDACEAE,Osmunda,,,,,Osmunda regalis,,,,regalis,L.,,,
203376,,,PAEONIACEAE,Paeonia,,,,,Paeonia mascula,,,,mascula,(L.) Mill.,,,
203377,,,PAEONIACEAE,Paeonia,,,,,Paeonia peregrina,,,,peregrina,Mill.,,,
202954,,,PAPAVERACEAE,Chelidonium,,,,,Chelidonium majus,,,,majus,L.,,,
203380,,,PAPAVERACEAE,Fumaria,,,,,Fumaria officinalis,,,,officinalis,L.,,,
165436,,,PAPAVERACEAE,Glaucium,,,,,Glaucium flavum,,,,flavum,Crantz,,,
203378,,,PAPAVERACEAE,Papaver,,,,,Papaver rhoeas,,,,rhoeas,L.,,,
203379,,,PAPAVERACEAE,Papaver,,,,,Papaver somniferum,,,,somniferum,L.,,,
42390,,,PINACEAE,Pinus,,,,,Pinus pinaster,,,,pinaster,Aiton,,,
42418,,,PINACEAE,Pinus,,,,,Pinus sylvestris,,,,sylvestris,L.,,,
203381,,,PLANTAGINACEAE,Digitalis,,,,,Digitalis grandiflora,,,,grandiflora,Mill.,,,
203382,,,PLANTAGINACEAE,Digitalis,,,,,Digitalis lanata,,,,lanata,Ehrh.,,,
203383,,,PLANTAGINACEAE,Digitalis,,,,,Digitalis purpurea,,,,purpurea,L.,,,
203384,,,PLANTAGINACEAE,Globularia,,,,,Globularia alypum,,,,alypum,L.,,,
203385,,,PLANTAGINACEAE,Globularia,,,,,Globularia cordifolia,,,,cordifolia,L.,,,
164396,,,PLANTAGINACEAE,Gratiola,,,,,Gratiola officinalis,,,,officinalis,L.,,,
203386,,,PLANTAGINACEAE,Plantago,,,,,Plantago afra,,,,afra,L.,,,
203387,,,PLANTAGINACEAE,Plantago,,,,,Plantago arenaria,,,,arenaria,Waldst. &amp; Kit.,,,
203388,,,PLANTAGINACEAE,Plantago,,,,,Plantago lanceolata,,,,lanceolata,L.,,,
168960,,,PLANTAGINACEAE,Plantago,,,,,Plantago major,,,,major,L.,,,
203389,,,PLANTAGINACEAE,Plantago,,,,,Plantago maxima,,,,maxima,Juss. ex Jacq.,,,
55699973,,,PLANTAGINACEAE,Plantago,,,,,Plantago ovata,,,,ovata,Forssk.,,,
203390,,,PLANTAGINACEAE,Veronica,,,,,Veronica officinalis,,,,officinalis,L.,,,
203392,,,POLYGALACEAE,Polygala,,,,,Polygala major,,,,major,Jacq.,,,
164084,,,POLYGONACEAE,Persicaria,,,,,Persicaria bistorta,,,,bistorta,(L.) Samp.,,,
163977,,,POLYGONACEAE,Persicaria,,,,,Persicaria hydropiper,,,,hydropiper,(L.) Delarbre,,,
203393,,,POLYGONACEAE,Polygonum,,,,,Polygonum aviculare,,,,aviculare,L.,,,
203395,,,POLYGONACEAE,Rumex,,,,,Rumex acetosella,,,,acetosella,L.,,,
203396,,,POLYGONACEAE,Rumex,,,,,Rumex alpinus,,,,alpinus,L.,,,
164226,,,POLYGONACEAE,Rumex,,,,,Rumex crispus,,,,crispus,L.,,,
203397,,,POLYPODIACEAE,Polypodium,,,,,Polypodium vulgare,,,,vulgare,L.,,,
196748,,,PRIMULACEAE,Cyclamen,,,,,Cyclamen hederifolium,,,,hederifolium,Aiton,,,
55704431,,,PRIMULACEAE,Primula,,,,,Primula elatior,,,,elatior,(L.) Hill,,,
203398,,,PRIMULACEAE,Primula,,,,,Primula farinosa,,,,farinosa,L.,,,
203399,,,PRIMULACEAE,Primula,,,,,Primula veris,,,,veris,L.,,,
164082,,,PTERIDACEAE,Adiantum,,,,,Adiantum capillus-veneris,,,,capillus-veneris,L.,,,
202912,,,RANUNCULACEAE,Aconitum,,,,,Aconitum lycoctonum,,,,lycoctonum,L.,,,
202913,,,RANUNCULACEAE,Actaea,,,,,Actaea spicata,,,,spicata,L.,,,
